pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
0,0.0-0.0,0.0128,0.0576,0.0576,0.0416,0.0480,0.0384,0.0544,0.0352,0.0448,0.0416,0.0416,0.0608,0.0256,0.0352,0.0352,0.0288,0.0256,0.0384,0.0288,0.7520
1,0.0-0.1,0.0167,0.0800,0.0833,0.0633,0.0500,0.0367,0.0667,0.0367,0.0600,0.0533,0.0667,0.0567,0.0700,0.0333,0.0333,0.0333,0.0467,0.0267,0.0133,0.9267
2,0.0-0.2,0.0133,0.0467,0.0533,0.0400,0.0533,0.0667,0.0400,0.0400,0.0400,0.0400,0.0733,0.0400,0.0467,0.0333,0.0333,0.0267,0.0200,0.0400,0.0267,0.7733
3,0.0-0.3,0.0000,0.0267,0.0400,0.0533,0.0400,0.0267,0.0267,0.0000,0.0133,0.0267,0.0533,0.0267,0.0667,0.0533,0.0933,0.0267,0.0000,0.0267,0.0133,0.6133
4,0.0-0.4,0.0000,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0000,0.0800,0.0000,0.0400,0.0400,0.0400,0.0400,0.0400,0.0000,0.0000,0.0000,0.0000,0.5200
5,0.0-0.5,0.0000,0.0200,0.0100,0.0500,0.0200,0.0200,0.0200,0.0200,0.0400,0.0100,0.0100,0.0200,0.0200,0.0000,0.0200,0.0200,0.0000,0.0100,0.0300,0.3400
6,0.0-0.6,0.0000,0.0400,0.0600,0.1000,0.0400,0.0200,0.0200,0.0400,0.0600,0.1400,0.0200,0.0600,0.0400,0.0200,0.0600,0.0000,0.0400,0.0400,0.0000,0.8000
7,0.0-0.7,0.0000,0.0200,0.0000,0.0000,0.0400,0.0000,0.0200,0.0400,0.0400,0.0400,0.0600,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200
8,0.0-0.8,0.0200,0.0000,0.0600,0.0200,0.0400,0.0200,0.0600,0.0000,0.0000,0.0400,0.1000,0.0600,0.0600,0.0000,0.0000,0.0200,0.0000,0.0400,0.0000,0.5400
9,0.0-1.0,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000
