pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
0,CLASS-CLASS,0.1250,0.8750,1.0000,0.8750,0.5000,0.3125,0.3750,0.1250,0.4375,0.2188,0.2500,0.2188,0.3438,0.2500,0.3125,0.5000,0.7188,0.2188,0.1250,7.7812
1,CLASS-CLSRCK,0.0781,0.8438,1.0000,1.0000,0.5000,0.4531,0.5312,0.1719,0.7656,0.6406,0.5938,0.3281,0.8750,0.4844,0.7812,0.9375,0.9219,0.5312,0.2188,11.6562
2,CLASS-CNFLK,0.0938,0.5938,0.8750,0.7812,0.6875,0.5312,0.3438,0.3438,0.5312,0.5000,0.5000,0.5625,0.8438,0.4688,0.7500,0.9688,1.0000,0.4688,0.4688,11.3125
3,CLASS-ELECTR,0.2500,0.9531,1.0156,0.8906,0.5312,0.3906,0.5000,0.2188,0.6250,0.4062,0.5156,0.4531,0.8438,0.3906,0.4062,0.5781,0.6875,0.3438,0.1406,10.1406
4,CLASS-INDIE,0.1518,0.6964,0.6607,0.7679,0.4554,0.4375,0.4196,0.0893,0.4821,0.3571,0.3304,0.2768,0.5893,0.4107,0.5714,0.6429,0.7589,0.4107,0.0893,8.5982
5,CLASS-JAZZ,0.1500,0.9750,0.7250,0.7250,0.3250,0.2750,0.3000,0.1750,0.8000,0.5250,0.6000,0.6250,0.7750,0.6500,0.8250,1.0750,1.1250,0.7750,0.3500,11.7750
6,CLASS-METAL,0.0000,0.6667,0.7500,0.9167,0.1667,0.4583,0.3333,0.1667,0.5417,0.5000,0.7500,0.5833,0.9583,0.6250,0.8750,1.1667,1.0833,0.4583,0.0000,11.0000
7,CLASS-OTHER,0.0000,0.4167,0.5417,0.5000,0.3333,0.0417,0.1667,0.0833,0.5417,0.2083,0.2500,0.1250,0.2500,0.1667,0.1250,0.2917,0.3333,0.2500,0.1667,4.7917
8,CLASS-SHOWTUN,0.0625,0.6875,1.0000,1.0625,0.8438,0.5625,0.5312,0.1875,0.8438,0.5000,0.4062,0.3750,0.8125,0.5000,0.6562,0.8750,0.8438,0.6250,0.3438,11.7188
9,CLASS-TOP40,0.0625,0.8750,0.5000,0.5625,0.2500,0.0000,0.0625,0.0625,0.0625,0.3125,0.3125,0.2500,0.1875,0.1250,0.4375,0.8750,0.5000,0.2500,0.1250,5.8125
10,CLASS-TYPEa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,CLASS-TYPEb,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,CLASS-TYPEc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,CLASS-TYPEd,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,CLASS-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,CLASS-TYPEf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,CLASS-TYPEg,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,CLASS-TYPEh,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,CLASS-TYPEi,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,CLASS-TYPEj,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,CLASS-TYPEk,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,CLSRCK-CLASS,0.0781,0.8438,1.0000,1.0000,0.5000,0.4531,0.5312,0.1719,0.7656,0.6406,0.5938,0.3281,0.8750,0.4844,0.7812,0.9375,0.9219,0.5312,0.2188,11.6562
22,CLSRCK-CLSRCK,0.0625,0.9062,1.1250,0.9688,0.4688,0.5938,0.6562,0.3125,0.9375,1.3125,0.9688,0.4375,1.1250,0.7812,1.2188,1.2188,1.0625,0.7812,0.1562,15.0938
23,CLSRCK-CNFLK,0.0312,0.6875,0.8750,0.8750,0.5312,0.4688,0.5312,0.3438,0.6562,1.0000,0.8438,0.7188,1.2188,0.8750,1.3125,1.2500,1.1875,1.0312,0.5000,14.9375
24,CLSRCK-ELECTR,0.4219,1.0312,0.7969,0.5938,0.4531,0.5781,0.6562,0.2500,0.7188,0.9375,0.8906,0.6406,1.2344,0.7031,0.9219,0.8125,0.7656,0.5469,0.2188,13.1719
25,CLSRCK-INDIE,0.1696,0.7143,0.7500,0.8482,0.4107,0.4911,0.5714,0.1429,0.7232,0.7946,0.7679,0.4643,1.0179,0.8036,1.1071,0.9286,0.9375,0.8304,0.0982,12.5714
26,CLSRCK-JAZZ,0.2250,0.8250,0.6750,0.6750,0.3250,0.4250,0.4000,0.1500,0.9250,1.1500,1.0750,0.9250,1.0750,1.1250,1.4250,1.3500,1.2250,1.1500,0.4500,15.5750
27,CLSRCK-METAL,0.0833,0.5833,0.5000,0.9167,0.4583,0.5417,0.3333,0.1667,0.6667,0.8333,1.0000,0.5833,1.3750,1.0417,1.4583,1.3333,1.0000,0.6250,0.0000,13.5000
28,CLSRCK-OTHER,0.1667,0.4167,0.6667,0.9583,0.5000,0.3333,0.5417,0.1667,0.7083,0.5000,0.5000,0.4167,0.5833,0.4583,0.3333,0.7917,0.5833,0.5000,0.2917,9.4167
29,CLSRCK-SHOWTUN,0.0625,0.7812,1.4375,1.5938,1.0625,0.6875,1.1562,0.2812,1.0938,1.2188,1.0000,1.0312,1.5625,1.1562,1.5000,1.6250,1.4062,1.2500,0.5938,20.5000
30,CLSRCK-TOP40,0.0625,0.6250,1.0000,0.7500,0.3125,0.3125,0.1875,0.1250,0.3750,0.5000,0.7500,0.3750,0.3125,0.5000,0.7500,1.3750,1.0000,0.6250,0.3125,10.2500
31,CLSRCK-TYPEa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
