pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
0,FR-FR,0.0864,0.6481,0.7840,1.0370,0.5432,0.4630,0.4938,0.1358,0.7469,0.7037,0.5988,0.4753,0.7407,0.4938,0.7840,0.8765,0.8704,0.4753,0.0988,11.0556
1,FR-JR,0.1111,0.4630,0.5185,0.6019,0.4074,0.3333,0.4259,0.0926,0.5463,0.5926,0.6667,0.6019,0.8426,0.6574,0.8056,0.6481,0.6296,0.3426,0.1204,9.4074
2,FR-OTHER,0.1825,0.8016,0.7222,0.8571,0.4048,0.3254,0.3413,0.1111,0.6587,0.3413,0.3651,0.3333,0.8016,0.4762,0.4683,0.4841,0.4603,0.4127,0.1508,8.6984
3,FR-SO,0.1493,0.8333,0.7812,0.7951,0.5104,0.5035,0.5382,0.2118,0.7569,0.6736,0.9201,0.6875,0.9236,0.7153,1.0139,1.1319,1.0382,0.7847,0.2083,13.1771
4,FR-SR,0.2121,0.5404,0.6364,0.7677,0.3586,0.3131,0.3283,0.1212,0.4192,0.4747,0.4444,0.3131,0.7121,0.4949,0.7626,0.8990,0.8485,0.6212,0.2323,9.5000
5,JR-FR,0.1111,0.4630,0.5185,0.6019,0.4074,0.3333,0.4259,0.0926,0.5463,0.5926,0.6667,0.6019,0.8426,0.6574,0.8056,0.6481,0.6296,0.3426,0.1204,9.4074
6,JR-JR,0.0000,0.1667,0.2222,0.3333,0.1667,0.1111,0.1111,0.0000,0.2222,0.3889,0.3333,0.8889,0.7222,0.4444,0.6111,0.5000,0.3889,0.3333,0.1111,6.0556
7,JR-OTHER,0.1905,0.5476,0.4524,0.5714,0.2381,0.2381,0.1667,0.0476,0.2857,0.1905,0.3571,0.4286,0.8333,0.6190,0.5476,0.4048,0.3571,0.2619,0.1667,6.9048
8,JR-SO,0.1667,0.5312,0.5625,0.6042,0.4062,0.4792,0.4583,0.1667,0.5521,0.6562,0.8021,0.9375,0.9792,0.8958,0.9583,0.8021,0.7604,0.5417,0.2812,11.5417
9,JR-SR,0.1212,0.2879,0.5152,0.4697,0.4697,0.2576,0.3333,0.1061,0.3788,0.4848,0.4545,0.5303,0.8788,0.7576,0.8636,0.7273,0.6667,0.4545,0.3030,9.0606
10,OTHER-FR,0.1825,0.8016,0.7222,0.8571,0.4048,0.3254,0.3413,0.1111,0.6587,0.3413,0.3651,0.3333,0.8016,0.4762,0.4683,0.4841,0.4603,0.4127,0.1508,8.6984
11,OTHER-JR,0.1905,0.5476,0.4524,0.5714,0.2381,0.2381,0.1667,0.0476,0.2857,0.1905,0.3571,0.4286,0.8333,0.6190,0.5476,0.4048,0.3571,0.2619,0.1667,6.9048
12,OTHER-OTHER,0.1633,0.9388,0.4490,0.7755,0.1224,0.1633,0.2041,0.1224,0.4898,0.1224,0.1224,0.1224,0.5714,0.2449,0.3265,0.2857,0.2857,0.2449,0.0816,5.8367
